"","x"
"gütigkeit",-0.81
"etlichemal",-0.78
"gemeiniglich",-0.63
"mißvergnüg",-0.63
"allezeit",-0.6
"schamhaftigkeit",-0.6
"vorsichtigkeit",-0.6
"untüchtig",-0.6
"eingeweide",-0.59
"kanal",-0.59
"denjeniger",-0.58
"exempel",-0.58
"jederzeit",-0.58
"verrichtung",-0.58
"insgesamt",-0.58
"dawider",-0.58
"mißvergnügt",-0.58
"erkenntlichkeit",-0.58
"mutmaßen",-0.58
"beratschlagen",-0.58
"schwitzen",-0.58
"zweien",-0.57
"gutachten",-0.56
"ernsthaftigkeit",-0.56
"durchlesung",-0.56
"wechselsweise",-0.55
"beleidiget",-0.55
"leutselig",-0.55
"genüge",-0.55
"beständigkeit",-0.55
"kaltsinnigkeit",-0.55
"projekt",-0.54
"gottlos",-0.54
"ander",-0.54
"zweie",-0.54
"unzählbar",-0.54
"unkosten",-0.54
"verstande",-0.54
"hiervon",-0.53
"reizunge",-0.53
"unkost",-0.53
"ergötzlichkeit",-0.53
"lehrmeister",-0.53
"ruhme",-0.53
"mannspersone",-0.53
"endigung",-0.53
"ungeneigt",-0.53
"erachten",-0.52
"beschwerlichkeit",-0.52
"derjenige",-0.52
"auslegung",-0.52
"ergötzung",-0.52
"ausschlag",-0.52
"and",-0.52
"niederträchtigkeit",-0.52
"vorgegeben",-0.52
"befestiget",-0.51
"beilegen",-0.51
"entschließung",-0.51
"zuzubringen",-0.51
"bekehrung",-0.51
"dasjenige",-0.5
"streitig",-0.5
"lustbarkeit",-0.5
"redeen",-0.5
"vorgesetzt",-0.5
"gewogenheit",-0.5
"neubegierde",-0.5
"ausgestehen",-0.5
"back",-0.5
"vorhabend",-0.5
"klotz",-0.5
"ungeziefer",-0.5
"durchgängig",-0.49
"fürbitte",-0.49
"hurtig",-0.49
"mannsperson",-0.49
"vornehmlich",-0.49
"inwendig",-0.49
"dauerhaft",-0.49
"unterweisung",-0.49
"verfertigt",-0.49
"verhaft",-0.49
"anfüllen",-0.48
"torheiten",-0.48
"frauenzimm",-0.48
"mutmaßung",-0.48
"zureichend",-0.48
"erblickung",-0.48
"desjenig",-0.48
"verdrießlichkeit",-0.48
"demjeniger",-0.47
"erdichtung",-0.47
"madam",-0.47
"etwan",-0.47
"beschaffenheit",-0.47
"ausschweifung",-0.47
