,x
erschließen,0.820325203252033
grollen,0.695934959349593
verglühen,0.684552845528455
entschwunden,0.680487804878049
verbünden,0.678048780487805
erblühen,0.665040650406504
schaukeln,0.638211382113821
banner,0.635772357723577
nächtig,0.635772357723577
herrin,0.620325203252033
kläng,0.613821138211382
umspieln,0.608943089430894
verklung,0.608943089430894
spenden,0.600813008130081
gewahren,0.595934959349594
haft,0.589430894308943
kunde,0.585365853658537
versunken,0.580487804878049
deck,0.578048780487805
sinnig,0.575609756097561
treppe,0.565040650406504
wirr,0.560162601626016
rüstig,0.55609756097561
keck,0.553658536585366
mahnen,0.552032520325203
duftig,0.552032520325203
erfassen,0.540650406504065
grunde,0.538211382113821
riesig,0.535772357723577
nippen,0.529268292682927
versunk,0.529268292682927
schlicht,0.52520325203252
wimper,0.513821138211382
erklungen,0.513821138211382
häupte,0.508943089430894
erglüht,0.508943089430894
dichtung,0.507317073170732
kapelle,0.507317073170732
gau,0.507317073170732
entschweben,0.507317073170732
spore,0.507317073170732
geige,0.504878048780488
verschlafen,0.504878048780488
mauern,0.502439024390244
reigen,0.500813008130081
dröhnen,0.500813008130081
falter,0.5
truhe,0.5
verzichten,0.5
schlimme,0.5
uralt,0.498373983739837
zinnen,0.495934959349593
brandung,0.489430894308943
spülen,0.489430894308943
erproben,0.486991869918699
vorzeit,0.485365853658537
frauenbild,0.484552845528455
gedanken,0.484552845528455
üppig,0.482926829268293
sühnen,0.480487804878049
verbluten,0.480487804878049
deuten,0.478861788617886
flüchten,0.478861788617886
ersehnen,0.475609756097561
hort,0.473983739837398
künden,0.473983739837398
sacht,0.473983739837398
kissen,0.473983739837398
wucht,0.469105691056911
recken,0.467479674796748
entsprungen,0.467479674796748
einheit,0.46260162601626
beraten,0.46260162601626
flügelschlag,0.460162601626016
asyl,0.460162601626016
irr,0.458536585365854
mütterlein,0.453658536585366
scherge,0.453658536585366
reihen,0.452032520325203
erlaben,0.451219512195122
beil,0.449593495934959
verhassen,0.449593495934959
tüchtig,0.447154471544715
schüren,0.447154471544715
tosen,0.447154471544715
klänge,0.444715447154472
gewoben,0.444715447154472
geschritten,0.444715447154472
mühle,0.443089430894309
heimatland,0.442276422764228
hage,0.442276422764228
blüt,0.440650406504065
himmelszelt,0.438211382113821
eisig,0.438211382113821
hadern,0.438211382113821
erkämpfen,0.438211382113821
verklungen,0.435772357723577
vogelsang,0.435772357723577
gebetten,0.435772357723577
musizieren,0.435772357723577
felsenriff,0.435772357723577
sonnig,0.434146341463415
leuchtturm,0.433333333333333
moment,0.431707317073171
verhängen,0.429268292682927
zwielicht,0.429268292682927
schanze,0.429268292682927
steuermann,0.429268292682927
möchtest,0.429268292682927
scheibe,0.427642276422764
umschlungen,0.427642276422764
rostig,0.426829268292683
gedieh,0.426829268292683
kredenzen,0.426829268292683
bügel,0.426829268292683
kirchhof,0.42520325203252
erbleichen,0.42520325203252
betten,0.42520325203252
knicken,0.422764227642276
erblinden,0.422764227642276
erjagen,0.422764227642276
brücke,0.421138211382114
kamel,0.420325203252032
wohlbekannt,0.420325203252032
steppe,0.420325203252032
wessen,0.41869918699187
troß,0.41869918699187
schleifen,0.41869918699187
brünnlein,0.417886178861789
spielzeug,0.417886178861789
platzen,0.417886178861789
brücken,0.416260162601626
leern,0.416260162601626
lustig,0.414634146341463
bannen,0.414634146341463
erz,0.414634146341463
kragen,0.413821138211382
schieben,0.412195121951219
klinge,0.411382113821138
lug,0.411382113821138
riefe,0.411382113821138
eintreten,0.411382113821138
droben,0.409756097560976
gemahnen,0.408943089430894
morgenwind,0.407317073170732
glüh,0.407317073170732
morgenstrahl,0.407317073170732
ergänzen,0.404878048780488
entglommen,0.404878048780488
klaffen,0.404878048780488
hufe,0.404878048780488
schwinge,0.403252032520325
geschwunden,0.402439024390244
akt,0.402439024390244
flint,0.402439024390244
gräser,0.402439024390244
lauer,0.402439024390244
runden,0.402439024390244
kecke,0.402439024390244
vergangen,0.398373983739837
karte,0.398373983739837
bord,0.398373983739837
räumen,0.396747967479675
elle,0.395934959349593
festhalten,0.395934959349593
schöneres,0.395934959349593
oder,0.395934959349593
würzig,0.395934959349593
verscheiden,0.395934959349593
runde,0.394308943089431
barg,0.394308943089431
gletscher,0.39349593495935
gebraus,0.39349593495935
strang,0.39349593495935
heizen,0.39349593495935
glorie,0.391869918699187
selber,0.391869918699187
unkraut,0.391869918699187
zerbrochen,0.38780487804878
auftun,0.38780487804878
