,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
0,1,Der sterbende Cato,Gottsched,1700,Aufklaerung,Tragedy,drama,1731,gottsched-der-sterbende-cato.xml,https://github.com/dracor-org/gerdracor,,22047
1,2,Ein Deutsches Vorspiel,Neuber,1697,Aufklaerung,,drama,1734,neuber-ein-deutsches-vorspiel.xml,https://github.com/dracor-org/gerdracor,,6480
2,3,Die Pietisterey im Fischbein-Rocke oder Die Doctormäßige Frau,Gottsched,1700,Aufklaerung,Comedy,drama,1736,gottschedin-die-pietisterey-im-fischbein-rocke.xml,https://github.com/dracor-org/gerdracor,,27691
3,4,Die von der Weisheit wider die Unwissenheit beschützte Schauspielkunst,Neuber,1697,Aufklaerung,,drama,1736,neuber-die-beschuetzte-schauspielkunst.xml,https://github.com/dracor-org/gerdracor,,7377
4,5,Die Verehrung der Vollkommenheit durch die gebesserten deutschen Schauspiele,Neuber,1697,Aufklaerung,,drama,1737,neuber-die-verehrung-der-vollkommenheit.xml,https://github.com/dracor-org/gerdracor,,7091
5,6,Der Bookesbeutel,Borkenstein,1705,Aufklaerung,Comedy,drama,1741,borkenstein-der-bookesbeutel.xml,https://github.com/dracor-org/gerdracor,,20442
6,7,Atalanta oder die bezwungene Sprödigkeit,Gottsched,1700,Aufklaerung,,drama,1741,gottsched-atalanta.xml,https://github.com/dracor-org/gerdracor,,17850
7,8,Die Geistlichen auf dem Lande,Krüger,1723,Aufklaerung,Comedy,drama,1743,krueger-die-geistlichen-auf-dem-lande.xml,https://github.com/dracor-org/gerdracor,,27837
8,9,Der geschäftige Müßiggänger,Schlegel,1719,Aufklaerung,Comedy,drama,1743,schlegel-der-geschaeftige-muessiggaenger.xml,https://github.com/dracor-org/gerdracor,,26883
9,10,Die Betschwester,Gellert,1715,Aufklaerung,Comedy,drama,1745,gellert-die-betschwester.xml,https://github.com/dracor-org/gerdracor,,20463
10,11,Das Testament,Gottsched,1700,Aufklaerung,Comedy,drama,1745,gottschedin-das-testament.xml,https://github.com/dracor-org/gerdracor,,28199
11,12,Der Witzling,Gottsched,1700,Aufklaerung,Comedy,drama,1745,gottschedin-der-witzling.xml,https://github.com/dracor-org/gerdracor,,10115
12,13,Der Hypochondrist,Quistorp,1722,Aufklaerung,Comedy,drama,1745,quistorp-der-hypochondrist.xml,https://github.com/dracor-org/gerdracor,,27930
13,14,Canut,Schlegel,1719,Aufklaerung,Tragedy,drama,1746,schlegel-canut.xml,https://github.com/dracor-org/gerdracor,,17002
14,15,Die zärtlichen Schwestern,Gellert,1715,Aufklaerung,Comedy,drama,1747,gellert-die-zaertlichen-schwestern.xml,https://github.com/dracor-org/gerdracor,,26378
