,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
34,35,"Armut, Reichtum, Schuld und Buße der Gräfin Dolores ","Arnim, Achim",1781,Kunstepoche,Roman,epik,1810,Arnim_GraefinDolores.txt,https://www.projekt-gutenberg.org/arnim/dolores/titlepage.html,,170246
93,94,Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns,"Arnim, Gisela",1827,Kunstepoche,Roman,epik,1840,Arnim_DasLebenDerHochgraefin.txt,,,54832
108,109,Evremont,Bernhardi,1775,Kunstepoche,Roman,epik,1836,Bernhardi_Evremont.txt,"http://www.zeno.org/Literatur/M/Bernhardi,+Sophie/Roman/Evremont",,230648
57,58,Lebensgeschichte und Natürliche Ebenteuer des Armen Mannes im Tockenburg ,Braeker,1735,Kunstepoche,Roman,epik,1789,Braeker_Tockenburg.txt,,,68601
84,85,Godwi,Brentano,1778,Kunstepoche,Roman,epik,1801,Brentano_Godwi.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,143505
85,86,Aus der Chronika eines fahrenden Schülers,Brentano,1778,Kunstepoche,Roman,epik,1818,Brentano_ChronikaEinesFahrendenSchuelers.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,14257
86,87,Baron Hüpfenstich,Brentano,1778,Kunstepoche,Roman,epik,1811,Brentano_BaronHuepfenstich.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,8157
87,88,Das Märchen von dem Myrtenfräulein,Brentano,1778,Kunstepoche,Roman,epik,1811,Brentano_Myrtenfraeulein.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,4201
88,89,Der Arme Raimondo,Brentano,1778,Kunstepoche,Roman,epik,,Brentano_DerArmeRaimondo.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,7530
89,90,Geschichte vom braven Kasperl und dem schönen Annerl,Brentano,1778,Kunstepoche,Roman,epik,1838,Brentano_KasperlUndAnnerl.txt,https://www.projekt-gutenberg.org/autoren/namen/brentano.html,,12787
49,50,Wunderbare Reise zu Wasser und zu Land,Buerger,1747,Aufklaerung,Roman,epik,1786,Buerger_Muenchhausen.txt,,,27827
