word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
leitung,0.06,31,9.0,22.0,1.9864383928559983e-05,1.2050854606439174e-05,2.703542993092448e-05,0.392857142857143
protegieren,0.12,11,1.0,10.0,7.048652361747092e-06,1.338983845159908e-06,1.2288831786783853e-05,0.303571428571429
auffordern,0.07,41,22.0,19.0,2.6272249711966432e-05,2.945764459351798e-05,2.334878039488932e-05,0.3125
ausstrecken,0.11,75,32.0,43.0,4.805899337554835e-05,4.284748304511706e-05,5.284197668317057e-05,0.0267857142857143
farbe,0.04,297,104.0,193.0,0.0001903136137671,0.0001392543198966,0.0002371744534849,0.0
kecken,0.09,15,3.0,12.0,9.61179867510967e-06,4.016951535479725e-06,1.4746598144140623e-05,0.232142857142857
zusammenkommen,0.13,18,4.0,14.0,1.1534158410131604e-05,5.3559353806396325e-06,1.7204364501497395e-05,0.339285714285714
lieben,0.33,4182,2575.0,1607.0,0.0026797694706205,0.0034478834012867,0.0019748152681361,0.0
taufen,0.09,61,15.0,46.0,3.908798127877933e-05,2.008475767739862e-05,5.652862621920572e-05,0.375
wahrheit,0.08,1106,590.0,516.0,0.0007087099556447,0.0007900004686443,0.000634103720198,0.0
gestreng,0.03,45,15.0,30.0,2.8835396025329013e-05,2.008475767739862e-05,3.686649536035156e-05,0.196428571428571
dom,0.08,18,3.0,15.0,1.1534158410131604e-05,4.016951535479725e-06,1.843324768017577e-05,0.366071428571429
verwirrt,0.08,33,15.0,18.0,2.1145957085241275e-05,2.008475767739862e-05,2.2119897216210936e-05,-0.0714285714285714
entblößt,0.08,24,13.0,11.0,1.5378877880175473e-05,1.7406789987078807e-05,1.351771496546224e-05,-0.0535714285714285
hoch,0.07,2505,1061.0,1444.0,0.0016051703787433,0.0014206618597146,0.0017745073100115,0.0
klopfend,0.12,13,7.0,6.0,8.330225518428381e-06,9.372886916119356e-06,7.373299072070312e-06,-0.178571428571429
aufgeputzt,0.04,14,9.0,5.0,8.971012096769025e-06,1.2050854606439174e-05,6.144415893391926e-06,-0.0446428571428572
höhlen,0.03,18,7.0,11.0,1.1534158410131604e-05,9.372886916119356e-06,1.351771496546224e-05,0.339285714285714
wirtshaus,0.06,126,36.0,90.0,8.073910887092123e-05,4.8203418425756695e-05,0.000110599486081,0.357142857142857
begaffen,0.08,11,8.0,3.0,7.048652361747092e-06,1.0711870761279263e-05,3.686649536035156e-06,-0.223214285714286
giftig,0.05,162,44.0,118.0,0.0001038074256911,5.891528918703596e-05,0.000145008215084,0.0089285714285713
stirbst,0.06,23,12.0,11.0,1.4738091301834828e-05,1.60678061419189e-05,1.351771496546224e-05,-0.142857142857143
lüste,0.07,14,7.0,7.0,8.971012096769025e-06,9.372886916119356e-06,8.602182250748698e-06,-0.178571428571429
börse,0.03,48,12.0,36.0,3.0757755760350945e-05,1.60678061419189e-05,4.423979443242187e-05,0.196428571428571
zierde,0.12,47,31.0,16.0,3.0116969182010302e-05,4.150849919995715e-05,1.9662130858854164e-05,-0.0892857142857143
bade,0.08,14,8.0,6.0,8.971012096769025e-06,1.0711870761279263e-05,7.373299072070312e-06,-0.0892857142857143
unwürdig,0.06,95,52.0,43.0,6.087472494236125e-05,6.962715994831523e-05,5.284197668317057e-05,0.0089285714285713
wüßten,0.07,96,64.0,32.0,6.151551152070189e-05,8.569496609023412e-05,3.932426171770833e-05,-0.1875
