word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
sauberkeit,0.06,12,9.0,3.0,4.601881632701584e-06,4.8146648271080605e-06,4.063168729853455e-06,0.116666666666667
protestieren,0.06,25,18.0,7.0,9.587253401461637e-06,9.62932965421612e-06,9.480727036324728e-06,-0.0944444444444444
machend,0.05,13,12.0,1.0,4.98537176876005e-06,6.419553102810748e-06,1.3543895766178184e-06,0.0888888888888889
quäln,0.05,27,20.0,7.0,1.0354233673578564e-05,1.0699255171351246e-05,9.480727036324728e-06,0.0277777777777778
streben,0.01,643,346.0,297.0,0.0002465841574855,0.0001850971144643,0.0004022537042554,-0.0833333333333334
einstudieren,0.09,15,7.0,8.0,5.7523520408769805e-06,3.744739309972936e-06,1.0835116612942547e-05,0.266666666666667
viereck,0.04,17,10.0,7.0,6.519332312993912e-06,5.349627585675623e-06,9.480727036324728e-06,0.05
mittler,0.1,73,61.0,12.0,2.7994779932267973e-05,3.26327282726213e-05,1.625267491941382e-05,-0.266666666666667
palast,0.07,81,64.0,17.0,3.10627010207357e-05,3.423761654832399e-05,2.302462280250291e-05,-0.0888888888888889
selbstzufriedenheit,0.04,31,18.0,13.0,1.1888194217812426e-05,9.62932965421612e-06,1.760706449603164e-05,-0.0666666666666667
beschenken,0.01,155,132.0,23.0,5.9440971089062136e-05,7.061508413091823e-05,3.115096026220982e-05,0.0222222222222221
hießen,0.04,66,51.0,15.0,2.531034897985872e-05,2.728310068694568e-05,2.0315843649267275e-05,0.0111111111111111
beinamen,0.05,13,13.0,0.0,4.98537176876005e-06,6.95451586137831e-06,0.0,0.0333333333333333
kultur,0.12,176,132.0,44.0,6.74942639462899e-05,7.061508413091823e-05,5.959314137118401e-05,0.433333333333333
verstimmen,0.04,73,47.0,26.0,2.7994779932267973e-05,2.5143249652675428e-05,3.521412899206328e-05,0.388888888888889
obliegenheit,0.69,12,12.0,0.0,4.601881632701584e-06,6.419553102810748e-06,0.0,-0.0222222222222222
drucken,0.12,208,187.0,21.0,7.97659483001608e-05,0.0001000380358521,2.8442181108974185e-05,-0.116666666666667
gewalttätigkeit,0.1,56,46.0,10.0,2.147544761927406e-05,2.4608286894107865e-05,1.3543895766178185e-05,-0.388888888888889
schlichten,0.05,37,28.0,9.0,1.418913503416322e-05,1.4978957239891746e-05,1.2189506189560363e-05,-0.0499999999999999
vollmond,0.04,49,34.0,15.0,1.8791016666864805e-05,1.818873379129712e-05,2.0315843649267275e-05,0.383333333333333
dienstfertig,0.07,17,14.0,3.0,6.519332312993912e-06,7.489478619945873e-06,4.063168729853455e-06,-0.205555555555556
zornig,0.03,86,51.0,35.0,3.298015170102802e-05,2.728310068694568e-05,4.740363518162364e-05,0.2
erlöschend,0.12,15,13.0,2.0,5.7523520408769805e-06,6.95451586137831e-06,2.708779153235637e-06,0.05
bösewichte,0.04,11,11.0,0.0,4.218391496643119e-06,5.884590344243186e-06,0.0,-0.0777777777777778
lebend,0.0,226,164.0,62.0,8.666877074921317e-05,8.773389240508022e-05,8.397215375030474e-05,0.144444444444444
abschließen,0.14,76,45.0,31.0,2.914525034044337e-05,2.4073324135540302e-05,4.198607687515237e-05,0.411111111111111
raisonnement,0.07,11,9.0,2.0,4.218391496643119e-06,4.8146648271080605e-06,2.708779153235637e-06,0.0055555555555555
aufspringen,0.03,136,69.0,67.0,5.2154658503951294e-05,3.69124303411618e-05,9.074410163339382e-05,0.0722222222222223
hervorrufen,0.03,61,23.0,38.0,2.3392898299566387e-05,1.2304143447053933e-05,5.14668039114771e-05,0.316666666666667
geziemend,0.03,20,17.0,3.0,7.669802721169307e-06,9.09436689564856e-06,4.063168729853455e-06,-0.166666666666667
sagten,0.14,30,22.0,8.0,1.150470408175396e-05,1.1769180688486372e-05,1.0835116612942547e-05,0.0888888888888889
entsagen,0.04,327,243.0,84.0,0.0001254012744911,0.0001299959503319,0.0001137687244358,0.183333333333333
zurückgeblieben,0.02,42,28.0,14.0,1.6106585714455545e-05,1.4978957239891746e-05,1.8961454072649456e-05,-0.266666666666667
närrin,0.05,59,55.0,4.0,2.2625918027449457e-05,2.942295172121593e-05,5.417558306471274e-06,-0.116666666666667
leutnant,0.19,99,69.0,30.0,3.796552346978807e-05,3.69124303411618e-05,4.063168729853455e-05,-0.305555555555556
verdienst,0.19,653,595.0,58.0,0.0002504190588461,0.0003183028413476,7.855459544383346e-05,-0.0555555555555556
grundsätze,0.08,127,115.0,12.0,4.8703247279425104e-05,6.152071723526966e-05,1.625267491941382e-05,0.0277777777777779
abfordern,0.04,37,28.0,9.0,1.418913503416322e-05,1.4978957239891746e-05,1.2189506189560363e-05,0.0722222222222222
hund,0.24,644,380.0,264.0,0.0002469676476216,0.0002032858482556,0.0003575588482271,0.0111111111111111
gesonne,0.11,17,14.0,3.0,6.519332312993912e-06,7.489478619945873e-06,4.063168729853455e-06,-0.0444444444444445
hervorbrachen,0.04,54,37.0,17.0,2.070846734715713e-05,1.9793622066999805e-05,2.302462280250291e-05,0.266666666666667
abfinden,0.03,16,12.0,4.0,6.135842176935446e-06,6.419553102810748e-06,5.417558306471274e-06,0.0611111111111111
goldstück,0.05,48,35.0,13.0,1.8407526530806336e-05,1.8723696549864683e-05,1.760706449603164e-05,0.155555555555556
gutartig,0.02,26,26.0,0.0,9.9707435375201e-06,1.390903172275662e-05,0.0,-0.111111111111111
gebiet,0.03,221,150.0,71.0,8.475132006892085e-05,8.024441378513434e-05,9.61616599398651e-05,-0.0833333333333334
akkorden,0.06,13,4.0,9.0,4.98537176876005e-06,2.1398510342702493e-06,1.2189506189560363e-05,0.0888888888888889
angestrichen,0.11,20,11.0,9.0,7.669802721169307e-06,5.884590344243186e-06,1.2189506189560363e-05,-0.0166666666666667
erwider,0.01,19,10.0,9.0,7.286312585110842e-06,5.349627585675623e-06,1.2189506189560363e-05,0.0888888888888889
niedlich,0.15,162,114.0,48.0,6.21254020414714e-05,6.09857544767021e-05,6.501069967765528e-05,-0.0611111111111111
kugel,0.17,277,195.0,82.0,0.0001062267676881,0.0001043177379206,0.0001110599452826,0.0888888888888889
pathetisch,0.05,35,28.0,7.0,1.3422154762046289e-05,1.4978957239891746e-05,9.480727036324728e-06,-0.255555555555556
ereilen,0.09,30,14.0,16.0,1.150470408175396e-05,7.489478619945873e-06,2.167023322588509e-05,0.272222222222222
suite,0.07,23,23.0,0.0,8.820273129344703e-06,1.2304143447053933e-05,0.0,0.0333333333333333
pathos,0.14,26,13.0,13.0,9.9707435375201e-06,6.95451586137831e-06,1.760706449603164e-05,0.133333333333333
aussteigen,0.06,43,41.0,2.0,1.649007585051401e-05,2.193347310127005e-05,2.708779153235637e-06,0.1
