word,semantic_score,count_complete,count_aufklaerung,count_kunstepoche,rel_count_complete,rel_count_aufklaerung,rel_count_kunstepoche,zeta_score
wißen,0.03,51,26.0,25.0,1.4036590363577966e-05,1.243275552898984e-05,1.6211543786407075e-05,0.0959349593495935
einigen,0.08,21,11.0,10.0,5.77977250264975e-06,5.260011954572624e-06,6.48461751456283e-06,0.0447154471544715
seufzer,0.01,157,126.0,31.0,4.3210680138857657e-05,6.02510460251046e-05,2.010231429514477e-05,-0.152032520325203
helikon,0.04,19,16.0,3.0,5.2293179785878695e-06,7.650926479378362e-06,1.945385254368849e-06,-0.128455284552846
sterblichkeit,0.02,209,179.0,30.0,5.752249776446656e-05,8.559473998804543e-05,1.945385254368849e-05,-0.307317073170732
marmorn,0.14,72,36.0,36.0,1.9816362866227715e-05,1.7214584578601314e-05,2.3344623052426182e-05,-0.0170731707317073
närrisch,0.04,67,28.0,39.0,1.844022655607301e-05,1.3389121338912134e-05,2.529000830679504e-05,0.091869918699187
teppich,0.07,199,87.0,112.0,5.477022514415716e-05,4.160191273161984e-05,7.26277161631037e-05,0.296747967479675
wunderst,0.03,17,13.0,4.0,4.678863454525989e-06,6.216377764494919e-06,2.593847005825132e-06,-0.0398373983739837
verschweigen,0.09,350,210.0,140.0,9.632954171082918e-05,0.0001004184100418,9.07846452038796e-05,0.0642276422764228
nack,0.06,232,134.0,98.0,6.385272479117819e-05,6.407650926479379e-05,6.354925164271574e-05,0.0016260162601625
rittern,0.03,60,24.0,36.0,1.651363572185643e-05,1.1476389719067544e-05,2.3344623052426182e-05,0.198373983739837
sprudelnd,0.12,43,25.0,18.0,1.183477226733044e-05,1.195457262402869e-05,1.1672311526213091e-05,-0.0682926829268293
rut,0.05,46,22.0,24.0,1.2660454053423263e-05,1.0520023909145249e-05,1.5563082034950793e-05,0.122764227642276
brunne,0.07,40,4.0,36.0,1.100909048123762e-05,1.9127316198445905e-06,2.3344623052426182e-05,0.251219512195122
widerschein,0.08,51,16.0,35.0,1.4036590363577966e-05,7.650926479378362e-06,2.2696161300969903e-05,0.186991869918699
hühnlein,0.12,13,1.0,12.0,3.5779544064022266e-06,4.781829049611476e-07,7.781541017475396e-06,0.108943089430894
wirkend,0.13,48,40.0,8.0,1.3210908577485143e-05,1.9127316198445904e-05,5.187694011650264e-06,-0.134959349593496
fährte,0.02,35,15.0,20.0,9.632954171082917e-06,7.172743574417214e-06,1.296923502912566e-05,0.153658536585366
schweine,0.06,14,8.0,6.0,3.853181668433167e-06,3.825463239689181e-06,3.890770508737698e-06,0.0357723577235772
schnaube,0.06,21,13.0,8.0,5.77977250264975e-06,6.216377764494919e-06,5.187694011650264e-06,-0.0617886178861788
